team,id,league,country,url_logo_espn
Salernitana,370,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/370.png
Almeria,730,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/730.png
Athletic Bilbao,93,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/93.png
Verona,450,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/450.png
Getafe,89,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/89.png
Juventus,111,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/111.png
Liverpool,364,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/364.png
Real Betis,244,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/244.png
Espanyol,88,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/88.png
Sevilla FC,243,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/243.png
Torino,239,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/239.png
Udinese,118,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/118.png
Mallorca,84,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/84.png
Internazionale,110,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/110.png
Sassuolo,120,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/120.png
Empoli,2574,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/2574.png
Napoli,114,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/114.png
Atletico Madrid,1068,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/1068.png
Bologna,107,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/107.png
Atalanta,105,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/105.png
Real Sociedad,89,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/89.png
AS Roma,104,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/104.png
Elche,77,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/77.png
Girona FC,97,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/97.png
Cremonese,404,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/404.png
Rayo Vallecano,101,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/101.png
Lorient,147,Ligue 1,France,https://a.espncdn.com/i/teamlogos/soccer/500/147.png
Real Madrid,86,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/86.png
Villarreal,102,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/102.png
Bournemouth,349,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/349.png
Luton Town,301,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/301.png
Sheffield Utd,398,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/398.png
Deportivo Alaves,96,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/96.png
Las Palmas,98,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/98.png
Ipswich Town,373,Premier League,England,https://a.espncdn.com/i/teamlogos/soccer/500/373.png
Legan_s,17534,La Liga,Spain,https://a.espncdn.com/i/teamlogos/soccer/500/17534.png
Hellas Verona,119,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/119.png
Como,2572,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/2572.png
Parma,115,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/115.png
Genoa,3263,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/3263.png
Cagliari,2925,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/2925.png
Venezia,17530,Serie A,Italy,https://a.espncdn.com/i/teamlogos/soccer/500/17530.png
Heidenheim,6418,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/6418.png
St. Pauli,270,Bundesliga,Germany,https://a.espncdn.com/i/teamlogos/soccer/500/270.png
Saint-ƒtienne,178,Ligue 1,France,https://a.espncdn.com/i/teamlogos/soccer/500/178.png
Le Havre,3236,Ligue 1,France,https://a.espncdn.com/i/teamlogos/soccer/500/3236.png
